Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,MITTERRAND (CIR),LECANUET (MRP),DE GAULLE (UNR),MARCILHACY (DVD),TIXIER-VIGNANCOUR (EXD),BARBU (DIV),Année,KRIVINE (LCR),ROCARD (PSU),DUCLOS (PCF),DEFFERRE (SFIO),POMPIDOU (UDR),POHER (CD),DUCATEL (DIV),LAGUILLER (LO),MITTERRAND (PS),MULLER (MDSR),DUMONT (ECO),GISCARD D'ESTAING (RI),CHABAN-DELMAS (UDR),RENOUVIN (NAR),ROYER (DVD),LE PEN (FN),HERAUD (DIV),SEBAG (DIV),BOUCHARDEAU (PSU),MARCHAIS (PCF),CREPEAU (MRG),LALONDE (ECO),GISCARD D'ESTAING (UDF),CHIRAC (RPR),DEBRE (DVD),GARAUD (DVD),BOUSSEL (MPT),LAJOINIE (PCF),JUQUIN ( ),WAECHTER (V),BARRE (UDF),HUE (PCF),JOSPIN (PS),VOYNET (VERTS),BALLADUR (UDF),DE VILLIERS (MPF),CHEMINADE (POE),GLUCKSTEIN (PT),BESANCENOT (LCR),TAUBIRA (PRG),CHEVENEMENT (P. REP),MAMERE (VERTS),LEPAGE (CAP 21),BAYROU (UDF),MADELIN (DL),CHIRAC (UMP),BOUTIN (UDF DISS.),MEGRET (MNR),SAINT-JOSSE (CNPT),SCHIVARDI (PT),BOVE,BUFFET (PC),ROYAL (PS),SARKOZY (UMP),DE VILLIERS MPF),NIHOUS (CNPT),Nathalie ARTHAUD (LO),Philippe POUTOU (NPA),Jean-Luc MELENCHON (FG),François HOLLANDE (PS),Eva JOLY (EELV),François BAYROU (MODEM),Nicolas SARKOZY (UMP),Nicolas DUPONT-AIGNAN (DLR),Marine LE PEN (FN),Jacques CHEMINADE (SP),Emmanuel MACRON,Marine LE PEN,Jean-Luc MELANCHON,FranÃ§ois FILLON,BenoÃ®t HAMON,Nicolas DUPONT-AIGNAN,Jean LASSALLE,Philippe POUTOU,FranÃ§ois ASSELINEAU,Nathalie ARTHAUD,Jacques CHEMINADE,Fabien ROUSSEL,Ã‰ric ZEMMOUR,Anne HIDALGO,Yannick JADOT,ValÃ©rie PÃ‰CRESSE
34,HERAULT,1,76316.0,65013.0,64503.0,510.0,22376.0,8471.0,21861.0,1399.0,9465.0,931.0,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,2,69715.0,59236.0,58739.0,497.0,22309.0,8396.0,19381.0,1054.0,6834.0,765.0,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,1,76310.0,63961.0,61629.0,2332.0,34479.0,,27150.0,,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,2,69688.0,59111.0,57026.0,2085.0,32658.0,,24368.0,,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,1,81097.0,61451.0,60823.0,628.0,,,,,,,1969,628.0,2314.0,11784.0,3652.0,25492.0,16230.0,723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,2,74682.0,57306.0,56716.0,590.0,,,,,,,1969,577.0,1969.0,12335.0,3468.0,23550.0,14146.0,671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,1,81097.0,56792.0,53770.0,3022.0,,,,,,,1969,,,,,28459.0,25311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,2,74682.0,52690.0,49605.0,3085.0,,,,,,,1969,,,,,26485.0,23120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,1,84852.0,71958.0,71434.0,524.0,,,,,,,1974,348.0,,,,,,,1160.0,33740.0,311.0,1083.0,23348.0,8181.0,138.0,2072.0,902.0,47.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HERAULT,2,67534.0,56794.0,56279.0,515.0,,,,,,,1974,360.0,,,,,,,929.0,30061.0,187.0,560.0,13746.0,8500.0,114.0,1082.0,639.0,46.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
