Année,Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,MITTERRAND (CIR),DE GAULLE (UNR),POMPIDOU (UDR),POHER (CD),GISCARD D'ESTAING (RI),MITTERRAND (PS),GISCARD D'ESTAING (UDF),CHIRAC (RPR),JOSPIN (PS),CHIRAC (UMP),LE PEN (FN),ROYAL (PS),SARKOZY (UMP),François HOLLANDE (PS),Nicolas SARKOZY (UMP),Emmanuel MACRON,Marine LE PEN
1965,68,HERAULTHERAULT,3,145998.0,123072.0,118655.0,4417.0,67137.0,51518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,68,HERAULTHERAULT,3,155779.0,109482.0,103375.0,6107.0,0.0,0.0,54944.0,48431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,68,HERAULTHERAULT,3,152339.0,135086.0,133555.0,1531.0,0.0,0.0,0.0,0.0,60249.0,73306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,68,HERAULTHERAULT,3,237500.0,205073.0,199403.0,5670.0,0.0,0.0,0.0,0.0,0.0,107554.0,91849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,102,HERAULTHERAULTHERAULT,6,188823.0,159588.0,154073.0,5515.0,0.0,0.0,0.0,0.0,0.0,75789.0,0.0,78284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,102,HERAULTHERAULTHERAULT,6,218328.0,177153.0,166183.0,10970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89739.0,76444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,102,HERAULTHERAULTHERAULT,6,238404.0,194961.0,184236.0,10725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144957.0,39279.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,102,HERAULTHERAULTHERAULT,6,267173.0,228324.0,219974.0,8350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103697.0,116277.0,0.0,0.0,0.0,0.0
2012,102,HERAULTHERAULTHERAULT,6,214573.0,174941.0,165870.0,9071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90035.0,75835.0,0.0,0.0
2017,102,HERAULTHERAULTHERAULT,6,230080.0,170018.0,150470.0,19548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105199.0,45271.0
2022,102,HERAULTHERAULTHERAULT,6,245880.0,176223.0,160934.0,15289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103362.0,57572.0
